iteration,reward_mean,length_mean,games,loss
43500,9.12,12.12,8,0.009918032214045525
44000,10.38,13.38,8,0.014925275929272175
44500,6.88,9.88,8,0.02217561937868595
45000,5.5,8.5,8,0.01726803556084633
45500,9.38,12.38,8,0.01209130696952343
46000,9.88,12.88,8,0.04291289299726486
46500,10.25,13.25,8,0.01338384859263897
47000,9.12,12.12,8,0.009044181555509567
47500,11.88,14.88,8,0.015883758664131165
48000,10.88,13.88,8,0.0098018329590559
48500,11.0,14.0,8,0.015456512570381165
49000,13.5,16.5,8,0.007041459903120995
49500,11.25,14.25,8,0.006457092706114054
50000,8.88,11.88,8,0.015361404046416283
50500,10.25,12.83,12,0.036273472011089325
51000,12.25,15.25,8,0.006600293796509504
51500,6.5,9.5,8,0.006667640060186386
52000,13.75,16.75,8,0.005138359032571316
52500,12.62,15.62,8,0.007746133953332901
53000,10.75,13.75,8,0.013381840661168098
53500,9.25,12.25,8,0.006583251059055328
54000,12.38,15.38,8,0.019845522940158844
54500,10.38,13.38,8,0.008372562937438488
55000,13.12,16.12,8,0.01234919112175703
55500,7.62,10.62,8,0.014947131276130676
56000,12.38,15.38,8,0.027982331812381744
56500,16.75,19.75,8,0.008211754262447357
57000,12.5,15.5,8,0.00875058863312006
57500,17.38,20.38,8,0.013184282928705215
58000,11.0,14.0,8,0.006165420636534691
58500,10.12,13.12,8,0.00924154557287693
59000,12.5,15.5,8,0.0064887600019574165
59500,11.5,14.5,8,0.010875907726585865
60000,13.0,16.0,8,0.005919135175645351
60500,13.75,16.75,8,0.007086156867444515
61000,10.12,13.12,8,0.007960491813719273
61500,16.25,19.25,8,0.007520492188632488
62000,12.88,15.88,8,0.00809776596724987
62500,13.62,16.62,8,0.020550593733787537
63000,13.62,16.62,8,0.01713475212454796
63500,15.38,18.38,8,0.023557156324386597
64000,12.5,15.5,8,0.015515939332544804
64500,15.75,18.75,8,0.019384898245334625
65000,12.25,15.25,8,0.01176777109503746
65500,10.62,13.62,8,0.028006304055452347
66000,18.75,21.75,8,0.021699126809835434
66500,14.88,17.88,8,0.010204953141510487
67000,17.25,20.25,8,0.012500550597906113
67500,13.0,16.0,8,0.01768530160188675
68000,12.0,15.0,8,0.018980517983436584
68500,16.62,19.62,8,0.010668210685253143
69000,14.12,17.12,8,0.009214361198246479
69500,16.38,19.38,8,0.007224880158901215
70000,15.25,18.25,8,0.006049993447959423
70500,13.75,16.75,8,0.008792209438979626
71000,17.62,20.62,8,0.025150613859295845
71500,12.75,15.75,8,0.010761846788227558
72000,12.88,15.88,8,0.009795188903808594
72500,9.88,12.88,8,0.02951688878238201
73000,14.0,17.0,8,0.0043132612481713295
73500,9.12,12.12,8,0.0047927116975188255
74000,14.62,17.62,8,0.010464860126376152
74500,13.0,16.0,8,0.011881798505783081
75000,16.0,19.0,8,0.01030595600605011
75500,15.62,18.62,8,0.018220707774162292
76000,10.25,13.25,8,0.016904138028621674
76500,12.12,15.12,8,0.006772893946617842
77000,10.56,13.56,9,0.015204290859401226
77500,15.12,18.12,8,0.007324892096221447
78000,17.12,20.12,8,0.010467784479260445
78500,10.62,13.62,8,0.008420513942837715
79000,10.62,13.62,8,0.01281319186091423
79500,15.88,18.88,8,0.027169782668352127
80000,17.12,20.12,8,0.007240896578878164
80500,6.88,9.88,8,0.00853409618139267
81000,16.25,19.25,8,0.006873049307614565
81500,13.12,16.12,8,0.008632672019302845
82000,12.88,15.88,8,0.007645682897418737
82500,11.5,14.5,8,0.005930671468377113
83000,16.25,19.25,8,0.006796369329094887
83500,15.38,18.38,8,0.007708470802754164
84000,16.38,19.38,8,0.009202161803841591
84500,11.62,14.62,8,0.006264752242714167
85000,14.5,17.5,8,0.01030455157160759
85500,13.75,16.75,8,0.013372709974646568
86000,8.5,11.5,8,0.03503822535276413
86500,14.88,17.88,8,0.0281577929854393
87000,14.88,17.88,8,0.007385078817605972
87500,15.75,18.75,8,0.011940238997340202
88000,12.25,15.25,8,0.006261561997234821
88500,13.12,16.12,8,0.04351188614964485
89000,13.88,16.88,8,0.020836081355810165
89500,12.75,15.75,8,0.017919935286045074
90000,11.0,14.0,8,0.020070880651474
90500,14.62,17.62,8,0.015207363292574883
91000,14.0,17.0,8,0.01245352067053318
91500,9.75,12.75,8,0.006666440051048994
92000,18.12,21.12,8,0.030867861583828926
92500,15.38,18.38,8,0.01896301843225956
93000,9.62,12.62,8,0.005128629505634308
93500,14.25,17.25,8,0.010387074202299118
94000,16.75,19.75,8,0.005825855769217014
94500,15.62,18.62,8,0.005971034988760948
95000,13.38,16.38,8,0.02136976271867752
95500,13.38,16.38,8,0.010729828849434853
96000,14.88,17.88,8,0.005541648715734482
96500,13.75,16.75,8,0.011189982295036316
97000,10.75,13.75,8,0.01289999857544899
97500,17.38,20.38,8,0.014392876997590065
98000,12.25,15.25,8,0.011564732529222965
98500,15.88,18.88,8,0.006873421836644411
99000,14.25,17.25,8,0.004388641100376844
99500,15.12,18.12,8,0.026598643511533737
100000,11.62,14.62,8,0.02586592361330986
100500,11.88,14.88,8,0.03240484744310379
101000,13.38,16.38,8,0.006978136487305164
101500,21.88,24.88,8,0.016997959464788437
102000,15.62,18.62,8,0.0145138343796134
102500,16.5,19.5,8,0.007451442535966635
103000,13.0,16.0,8,0.01615956798195839
103500,15.88,18.88,8,0.004312002100050449
104000,15.88,18.88,8,0.0074760220013558865
104500,18.62,21.62,8,0.015717655420303345
105000,18.12,21.12,8,0.018097542226314545
105500,15.75,18.75,8,0.010156657546758652
106000,16.0,19.0,8,0.029758552089333534
106500,10.38,13.38,8,0.005778688006103039
107000,18.12,21.12,8,0.008227568119764328
107500,16.12,19.12,8,0.008327048271894455
108000,14.0,17.0,8,0.026331212371587753
108500,10.88,13.88,8,0.006245979107916355
109000,22.5,25.5,8,0.013836067169904709
109500,13.0,16.0,8,0.012975291348993778
110000,12.0,15.0,8,0.021011464297771454
110500,13.5,16.5,8,0.013009640388190746
111000,18.25,21.25,8,0.04703916981816292
111500,15.75,18.75,8,0.014444386586546898
112000,10.5,13.5,8,0.014304735697805882
112500,16.12,19.12,8,0.011145391501486301
113000,14.62,17.62,8,0.010127793066203594
113500,17.25,20.25,8,0.006300421431660652
114000,14.5,17.5,8,0.008475768379867077
114500,14.25,17.25,8,0.009232688695192337
115000,10.75,13.75,8,0.012548491358757019
115500,14.89,17.89,9,0.009235680103302002
116000,11.5,14.5,8,0.01529808808118105
116500,14.88,17.88,8,0.033180903643369675
117000,10.5,13.5,8,0.007813085801899433
117500,14.5,17.5,8,0.015130545012652874
118000,16.0,19.0,8,0.008747842162847519
118500,15.75,18.75,8,0.008319332264363766
119000,14.88,17.88,8,0.0421886146068573
119500,16.25,19.25,8,0.007901554927229881
120000,20.12,23.12,8,0.011326689273118973
120500,16.75,19.75,8,0.010541854426264763
121000,14.38,17.38,8,0.026787161827087402
121500,12.5,15.5,8,0.01065449696034193
122000,15.25,18.25,8,0.01066023763269186
122500,17.5,20.5,8,0.01705561950802803
123000,15.0,18.0,8,0.006694032344967127
123500,14.75,17.75,8,0.010651297867298126
124000,18.12,21.12,8,0.012232212349772453
124500,12.0,15.0,8,0.008502686396241188
125000,17.5,20.5,8,0.009825283661484718
125500,15.25,18.25,8,0.024383358657360077
126000,10.5,13.5,8,0.008548195473849773
126500,12.38,15.38,8,0.01265677995979786
127000,17.5,20.5,8,0.01220860704779625
127500,16.38,19.38,8,0.032510992139577866
128000,14.25,17.25,8,0.021492673084139824
128500,10.75,13.75,8,0.011890307068824768
129000,15.75,18.75,8,0.0068076010793447495
129500,18.0,21.0,8,0.009118633344769478
130000,15.62,18.62,8,0.012655586935579777
130500,11.62,14.62,8,0.013762036338448524
131000,19.75,22.75,8,0.007279818877577782
131500,10.5,13.5,8,0.02860172465443611
132000,18.38,21.38,8,0.02332642301917076
132500,13.0,16.0,8,0.011242955923080444
133000,14.75,17.75,8,0.008893970400094986
133500,13.12,16.12,8,0.006302690599113703
134000,14.25,17.25,8,0.00904074776917696
134500,14.25,17.25,8,0.007447752170264721
135000,17.0,20.0,8,0.01470983773469925
135500,21.38,24.38,8,0.014765647239983082
136000,18.75,21.75,8,0.03337232023477554
136500,9.25,12.25,8,0.007746242918074131
137000,19.25,22.25,8,0.03301431983709335
137500,18.0,21.0,8,0.02121753804385662
138000,20.75,23.75,8,0.011860685423016548
138500,11.88,14.88,8,0.03258078545331955
139000,17.62,20.62,8,0.023181233555078506
139500,12.75,15.75,8,0.01070106215775013
140000,14.5,17.5,8,0.009502705186605453
140500,9.0,12.0,8,0.01401173509657383
141000,16.25,19.25,8,0.019479772076010704
141500,13.88,16.88,8,0.026239532977342606
142000,13.12,16.12,8,0.010850982740521431
142500,15.12,18.12,8,0.009544631466269493
143000,20.12,23.12,8,0.06682101637125015
143500,14.5,17.5,8,0.009500676766037941
144000,11.0,14.0,8,0.009460501372814178
144500,15.88,18.88,8,0.007194891571998596
145000,22.75,25.75,8,0.01763816736638546
145500,17.88,20.88,8,0.021881643682718277
146000,14.75,17.75,8,0.006573404185473919
146500,13.12,16.12,8,0.009848855435848236
147000,14.5,17.5,8,0.004814722575247288
147500,15.38,18.38,8,0.00944461952894926
148000,19.0,22.0,8,0.0049194460734725
148500,13.5,16.5,8,0.009486650116741657
149000,15.12,18.12,8,0.014185335487127304
149500,20.75,23.75,8,0.05708646774291992
150000,18.38,21.38,8,0.014918146654963493
150500,15.75,18.75,8,0.03630877286195755
151000,12.75,15.75,8,0.030982837080955505
151500,11.38,14.38,8,0.006598653271794319
152000,18.62,21.62,8,0.01255691796541214
152500,15.0,18.0,8,0.006658756174147129
153000,18.88,21.88,8,0.007845340296626091
153500,13.62,16.62,8,0.026463991031050682
154000,13.12,16.12,8,0.01920965127646923
154500,19.75,22.75,8,0.008777622133493423
155000,14.25,17.25,8,0.012841468676924706
155500,17.12,20.12,8,0.012123859487473965
156000,9.5,12.5,8,0.0127913448959589
156500,15.12,18.12,8,0.013948174193501472
157000,15.62,18.62,8,0.014015918597579002
157500,14.62,17.62,8,0.006550946272909641
158000,15.62,18.62,8,0.008130047470331192
158500,16.75,19.75,8,0.009393519721925259
159000,15.88,18.88,8,0.01564984768629074
159500,13.0,16.0,8,0.011255813762545586
160000,13.38,16.38,8,0.02702457271516323
160500,14.62,17.62,8,0.008148347958922386
161000,20.12,23.12,8,0.0070731001906096935
161500,18.25,21.25,8,0.011783173307776451
162000,16.12,19.12,8,0.02452157437801361
162500,14.5,17.5,8,0.007482576183974743
163000,16.38,19.38,8,0.009127743542194366
163500,13.75,16.75,8,0.008330455049872398
164000,14.5,17.5,8,0.005204962566494942
164500,11.88,14.88,8,0.01192590594291687
165000,22.12,25.12,8,0.022814791649580002
165500,19.88,22.88,8,0.032610081136226654
166000,13.62,16.62,8,0.012174171395599842
166500,15.12,18.12,8,0.01273617334663868
167000,15.25,18.25,8,0.014572719112038612
167500,11.5,14.5,8,0.012433122843503952
168000,16.38,19.38,8,0.0059454115107655525
168500,19.12,22.12,8,0.039588481187820435
169000,15.88,18.88,8,0.012854030355811119
169500,19.38,22.38,8,0.008908706717193127
170000,16.88,19.88,8,0.014704586006700993
170500,15.0,18.0,8,0.023791123181581497
171000,14.75,17.75,8,0.00637891236692667
171500,14.38,17.38,8,0.010419376194477081
172000,21.0,24.0,8,0.0059587289579212666
172500,16.25,19.25,8,0.016354694962501526
173000,18.62,21.62,8,0.010507154278457165
173500,15.38,18.38,8,0.041256628930568695
174000,17.88,20.88,8,0.0076244971714913845
174500,10.75,13.75,8,0.013896219432353973
175000,12.5,15.5,8,0.03175685182213783
175500,17.25,20.25,8,0.011453768238425255
176000,11.67,14.67,9,0.020738033577799797
176500,12.12,15.12,8,0.009170398116111755
177000,15.12,18.12,8,0.006532340310513973
177500,22.12,25.12,8,0.016099313274025917
178000,12.62,15.62,8,0.01987689919769764
178500,18.88,21.88,8,0.014184027910232544
179000,18.62,21.62,8,0.0123243797570467
179500,18.88,21.88,8,0.017042821273207664
180000,16.5,19.5,8,0.0065766917541623116
180500,16.12,19.12,8,0.006102767772972584
181000,16.5,19.5,8,0.011926993727684021
181500,18.25,21.25,8,0.024748679250478745
182000,19.38,22.38,8,0.01598105952143669
182500,20.75,23.75,8,0.00708367582410574
183000,14.88,17.88,8,0.06543286144733429
183500,20.25,23.25,8,0.009422970935702324
184000,14.88,17.88,8,0.005073439329862595
184500,17.25,20.25,8,0.009411126375198364
185000,15.5,18.5,8,0.014126749709248543
185500,16.5,19.5,8,0.024909622967243195
186000,14.0,17.0,8,0.015396719798445702
186500,15.62,18.62,8,0.013739975169301033
187000,18.12,21.12,8,0.014236818999052048
187500,12.12,15.12,8,0.00610010139644146
188000,18.38,21.38,8,0.02619175985455513
188500,11.5,14.5,8,0.009679226204752922
189000,21.25,24.25,8,0.011086883023381233
189500,17.25,20.25,8,0.018033156171441078
190000,15.62,18.62,8,0.006525720469653606
190500,16.88,19.88,8,0.009539542719721794
191000,18.0,21.0,8,0.00922341924160719
191500,18.88,21.88,8,0.007833831012248993
192000,17.5,20.5,8,0.01591809093952179
192500,17.0,20.0,8,0.015096653252840042
193000,15.75,18.75,8,0.011054553091526031
193500,18.5,21.5,8,0.03011016733944416
194000,15.25,18.25,8,0.019906112924218178
194500,22.0,25.0,8,0.010577553883194923
195000,17.88,20.88,8,0.007365838624536991
195500,17.5,20.5,8,0.00719038350507617
196000,20.62,23.62,8,0.004385801963508129
196500,21.0,24.0,8,0.005281366407871246
197000,12.5,15.5,8,0.0467245988547802
197500,16.5,19.5,8,0.02878306433558464
198000,16.25,19.25,8,0.007754028309136629
198500,18.88,21.88,8,0.010874363593757153
199000,15.38,18.38,8,0.010268311947584152
199500,16.5,19.5,8,0.02791050262749195
200000,15.0,18.0,8,0.007520783692598343
